displayName,displayValue,perGameDisplayValue,rankDisplayValue,description
Kick Return Fair Catches,1,Tied-16th,The number of kick return fair catches.,
Kick Return Fair Catch Percentage,5.26,53rd,The percentage of kick returns that are fair caught.,
Kick Return Fumbles,0,Tied-1st,The number of kick return fumbles.,
Kick Return Fumbles Lost,0,Tied-1st,The number of kick return fumbles that are lost.,
Kick Returns,18,1,Tied-14th,The number of kick returns.,
Kick Return Touchdowns,0,Tied-4th,The number of kick return touchdowns.,
Kick Return Yards,382,22,20th,The total yardage of kick returns.,
Long Kick Return,40,15,Tied-15th,The longest kick return in yards.,
Long Punt Return,49,11,14th,The longest punt return in yards.,
Miscellaneous Fumbles Returns,0,Tied-1st,The number of fumble returns.,
Miscellaneous Fumble Return Yards,0,Tied-1st,The amount of total yardage from fumble returns.,
Opposition Fumble Recoveries,6,Tied-25th,The number of fumble recoveries by the opposition.,
Opposition Fumble Recovery Yards,1,Tied-26th,The amount of total yardage from fumble recoveries by the opposition.,
Opposition Special Team Fumble Returns,0,Tied-1st,The number of fumble returns by the opposition's speical teams.,
Opposition Special Team Fumble Return Yards,0,Tied-1st,The amount of total yardage from fumble return by the opposition's special teams.,
Punt Return Fair Catches,11,32nd,The number of punt return fair catches.,
Punt Return Fair Catch Percentage,26.19,177th,The percentage of kick returns that are fair caught.,
Punt Return Fumbles,0,Tied-1st,The number of punt return fumbles.,
Punt Return Fumbles Lost,0,Tied-1st,The number of punt return fumbles that are lost.,
Punt Returns,31,1,Tied-14th,The number of punt returns.,
Punt Returns Started Inside the 10,0,Tied-1st,The number of punt returns started inside the 10.,
Punt Returns Started Inside the 20,0,Tied-1st,The number of punt returns started inside the 20.,
Punt Return Touchdowns,0,Tied-9th,The number of punt return touchdowns.,
Punt Return Yards,286,16,18th,The total yardage of punt returns.,
Special Team Fumbles Returns,0,Tied-1st,The number of special team fumble returns.,
Special Team Fumble Return Yards,0,Tied-1st,The amount of total yardage from special team fumble returns.,
Team Games Played,17,Tied-1st,The numbers of team games played.,
Yards Per Kick Return,21.2,22,Tied-1st,The average number of yards per kick return.,
Yards Per Punt Return,9.2,16,Tied-1st,The average number of yards per punt return.,
Yards Per Return,13.6,19,Tied-1st,The average number of yards per return.,
Average Punt Return Yards,10.2,8.302,13th,The average number of yards per punt return.,
Fair Catches,12,Tied-28th,The number of fair catches.,
Gross Average Punt Yards,49.6,46.605,6th,The average gross number of yards per punt.,
Long Punt,77,55,4th,The distance of the longest punt.,
Net Average Punt Yards,43.8,41.25,11th,The average net number of yards per punt.,
Punt Returns,36,2,7th,The number of times a punt was returned.,
Punt Return Yards,366,21,8th,The total amount of yardage of punt returns.,
Punts,64,3,21st,The number of punts taken.,
Punts Blocked,0,Tied-6th,The number of times a punt was blocked.,
Punts Blocked Percentage,0.00,Tied-6th,The percentage of punts that are blocked.,
Punts Inside 10,5,31st,The number of times a punt is downed inside the 10.,
Punts Inside 10 Percentage,7.81,31st,The percentage of punts that end up inside the 10.,
Punts Inside 20,13,32nd,The number of times a punt is downed inside the 20.,
Punts Inside 20 Percentage,20.31,18.941,32nd,The percentage of punts that end up inside the 10.,
Punt Yards,3,172,186,19th,The total amount of yardage of punts.,
Team Games Played,17,Tied-1st,The numbers of team games played.,
Touchback Percentage,4.69,4.118,25th,The percentage of punts that are touchbacks.,
Touchbacks,3,Tied-24th,The number of kickoffs that result in touchbacks.,
Defensive Points,0,2,Tied-14th,The number of points scored on defense.,
Field Goals,28,1,20th,The number of field goals made.,
Kick Extra Points,22,1,30th,The number of extra points made.,
Miscellaneous Points,0,Tied-1st,The number of miscellaneous points scored.,
Passing Touchdowns,18,1,Tied-24th,The total number of passing touchdowns.,
Receiving Touchdowns,18,1,Tied-24th,The total number of receiving touchdowns.,
Return Touchdowns,1,Tied-24th,The total number of return touchdowns.,
Rushing Touchdowns,17,1,Tied-9th,The total number of rushing touchdowns.,
Total Points,330,19,24th,The number of total points scored.,
Total Points Per Game,19.4,24th,The number of points scored per game.,
Total Touchdowns,36,2,Tied-23rd,The number of touchdowns scored in total.,
Total Two Point Conversions,4,Tied-2nd,The number of times a 2-point conversion is successful.,
Two Point Pass Conversions,1,Tied-12th,The number of times a 2-point conversion is successful with a pass.,
Two Point Receiving Conversion,1,Tied-12th,The number of times a 2-point is converted with a reception.,
Two Point Rush Conversion,3,2nd,The number of times a 2-point is converted with a run.,
One Point Safeties Made,0,Tied-1st,One Point Safeties Made,
Total 1st downs,330,19,14th,The the number of first downs.,
Passing 1st downs,173,10,Tied-23rd,The number of times a pass results in a first down.,
1st downs by penalty,30,1,Tied-16th,The number of times a penalty results in a first down.,
First Downs Per Game,19.41,19,14th,The average number of first downs per game.,
Rushing 1st downs,127,7,6th,The number of times a rush results in a first down.,
First Downs Attempts,34,2,4th,The number of attempts at getting a first down.,
4th down %,44.12,34.314,27th,The percentage of fourth down attempts that are converted.,
Fourth Down Conversions,15,Tied-10th,The number of times a fourth down is converted.,
Fumbles Lost,6,Tied-25th,The number of times the ball has been fumbled and lost to the opposing team .,
Possession Time Seconds,29879,1,757,25th,The total time of possession in seconds.,
Red Zone Efficiency Percentage,73.75,3rd,The percentage of red zone attempts that are converted.,
Red Zone Field Goal Percentage,25.58,Tied-20th,The percentage of red zone trips that end in a field goal.,
Red Zone Scoring Percentage,88.37,59,3rd,The percentage of red zone trips that result in a score.,
Red Zone Touchdown Percentage,62.79,6th,The percentage of red zone trips that result in a touchdown.,
Third Down Attempts,225,13,Tied-15th,The number of 3rd down attempts.,
3rd down %,39.11,38.614,14th,The percentage of 3rd downs that are converted.,
Third Down Conversions,88,5,Tied-13th,The number of 3rd down conversions.,
Total Giveaways,18,Tied-22nd,The total number of giveaways.,
Total Penalties,101,5,Tied-11th,The total number of total penalties.,
Total Penalty Yards,859,50,10th,The total number of penalty yards.,
Total Takeaways,17,Tied-27th,The total number of takeaways.,
Total Drives,0,Tied-1st,The total number of drives.,
Turnover Ratio,-1,19th,Difference between take-aways and give-aways,
